date,name,type,year
2025-09-15,Jitiya Parwa,Optional Holiday,2025
2025-09-19,Constitution Day,Public Holiday,2025
2025-09-22,Ghatasthapana,Public Holiday,2025
2025-09-23,September Equinox,Season,2025
2025-09-29,Phulpati (Dashain),Public Holiday,2025
2025-09-30,Astami (Dashain),Public Holiday,2025
2025-10-01,Nawami (Dashain),Public Holiday,2025
2025-10-02,Dashami (Dashain),Public Holiday,2025
2025-10-03,Ekadashi (Dashain),Public Holiday,2025
2025-10-04,Duwadashi (Dashain),Public Holiday,2025
2025-10-20,Laxmi Puja (Tihar),Public Holiday,2025
2025-10-21,Gai Tihar,Public Holiday,2025
2025-10-22,Gobhardan Pujan (Tihar),Public Holiday,2025
2025-10-23,Bhai Tika (Tihar),Public Holiday,2025
2025-10-24,Tihar Holiday,Public Holiday,2025
2025-10-27,Chhat Parwa,Public Holiday,2025
2025-11-05,Guru Nanak Jayanti,Optional Holiday,2025
2025-11-11,Phalgunanda Jayanti,Optional Holiday,2025
2025-12-03,International Day of Disabled Persons,Optional Holiday,2025
2025-12-04,Udhauli Parva,Optional Holiday,2025
2025-12-21,December Solstice,Season,2025
2025-12-25,Christmas Day,Optional Holiday,2025
2025-12-30,Tamu Lhosar,Optional Holiday,2025
